city_ascii;province_id;province_name;lat;lng;population;density
Weldford;NB;New Brunswick;46.5221;-65.1114;1338;2.2
Reynolds;MB;Manitoba;49.7678;-95.8842;1338;0.4
St. Laurent;MB;Manitoba;50.43;-97.7933;1338;2.9
Lions Bay;BC;British Columbia;49.4581;-123.2369;1334;526.5
L'Isle-aux-Allumettes;QC;Quebec;45.8667;-77.0667;1334;7.2
Emo;ON;Ontario;48.6333;-93.8333;1333;6.6
Sainte-Brigide-d'Iberville;QC;Quebec;45.3167;-73.0667;1331;18.7
Les Eboulements;QC;Quebec;47.4833;-70.3167;1331;8.5
Dunsmuir;BC;British Columbia;49.3696;-124.5772;1330;62.3
Pointe-aux-Outardes;QC;Quebec;49.05;-68.4333;1330;17.8
Smooth Rock Falls;ON;Ontario;49.2833;-81.6333;1330;6.6
Oxbow;SK;Saskatchewan;49.2333;-102.1667;1328;412.6
Telkwa;BC;British Columbia;54.6972;-127.05;1327;191.9
Gjoa Haven;NU;Nunavut;68.6448;-95.8912;1324;46.5
Sainte-Barbe;QC;Quebec;45.1667;-74.2;1324;33
Mayerthorpe;AB;Alberta;53.9503;-115.1336;1320;302.2
Saint-Louis-du-Ha! Ha!;QC;Quebec;47.67;-68.98;1318;11.7
Powerview-Pine Falls;MB;Manitoba;50.5661;-96.1981;1316;262
Baie Verte;NL;Newfoundland and Labrador;49.9167;-56.1833;1313;3.5
Saint-Edouard;QC;Quebec;45.2333;-73.5167;1312;24.8
Charlo;NB;New Brunswick;48;-66.32;1310;41.9
Hillsborough;NB;New Brunswick;45.9052;-64.7652;1308;4.3
Bruederheim;AB;Alberta;53.8042;-112.9278;1308;183.8
Burgeo;NL;Newfoundland and Labrador;47.6;-57.6333;1307;41.7
Wadena;SK;Saskatchewan;51.9458;-103.8014;1306;449.5
Richmond;NB;New Brunswick;46.0776;-67.7248;1303;5
Swan Hills;AB;Alberta;54.7106;-115.4133;1301;49.8
Wilkie;SK;Saskatchewan;52.4167;-108.7;1301;137.3
Saint-Leonard;NB;New Brunswick;47.1625;-67.925;1300;249.2
Riviere-Bleue;QC;Quebec;47.4333;-69.05;1299;7.5
Noyan;QC;Quebec;45.0667;-73.3;1297;29
Ile-a-la-Crosse;SK;Saskatchewan;55.45;-107.8833;1296;54.4
Landmark;MB;Manitoba;49.6711;-96.8179;1292;433.4
Saint-Hugues;QC;Quebec;45.8;-72.8667;1292;15.4
Chisholm;ON;Ontario;46.1;-79.2333;1291;6.2
Sainte-Anne-du-Sault;QC;Quebec;46.1733;-72.1415;1290;21.6
La Conception;QC;Quebec;46.15;-74.7;1287;9.9
Saint-Valere;QC;Quebec;46.0667;-72.1;1286;11.9
Sorrento;BC;British Columbia;50.8832;-119.4782;1285;108.3
Lameque;NB;New Brunswick;47.7925;-64.6532;1285;102.8
Thessalon;ON;Ontario;46.25;-83.55;1279;284.6
L'Isle-aux-Coudres;QC;Quebec;47.4;-70.3833;1279;42.5
Nobleford;AB;Alberta;49.8822;-113.0531;1278;802.6
Larouche;QC;Quebec;48.45;-71.5167;1277;15.1
South Qu'Appelle No. 157;SK;Saskatchewan;50.5389;-104.0141;1275;1.4
Elton;MB;Manitoba;49.975;-99.8658;1273;2.2
Lorrainville;QC;Quebec;47.3613;-79.3382;1272;14.5
Conestogo;ON;Ontario;43.5441;-80.4997;1270;595.5
Upham;NB;New Brunswick;45.5083;-65.6618;1269;6.7
St.-Charles;ON;Ontario;46.3422;-80.4497;1269;3.9
Sainte-Lucie-des-Laurentides;QC;Quebec;46.13;-74.18;1269;11.1
Saint-Alexis;QC;Quebec;45.9333;-73.6167;1267;29.2
Gillam;MB;Manitoba;56.3472;-94.7078;1265;0.6
Roxton Falls;QC;Quebec;45.5667;-72.5167;1265;259.1
Montcalm;MB;Manitoba;49.1775;-97.3247;1260;2.7
Clarendon;QC;Quebec;45.65;-76.5167;1256;3.8
Mervin No. 499;SK;Saskatchewan;53.5455;-108.8762;1256;0.8
Saint-Ludger;QC;Quebec;45.75;-70.7;1255;9.8
Coldwell;MB;Manitoba;50.6389;-98.0417;1254;1.4
Saint-Arsene;QC;Quebec;47.9167;-69.4333;1253;17.7
Racine;QC;Quebec;45.5;-72.25;1252;11.8
Saint-Majorique-de-Grantham;QC;Quebec;45.9333;-72.5833;1251;21.6
